YearMonth,Year,Month,MonthAbbr,MonthNbr,Date,Day,DayAbbr
202012,2020,December,Dec,12,01-12-2020,Tuesday,Tue
202012,2020,December,Dec,12,02-12-2020,Wednesday,Wed
202012,2020,December,Dec,12,03-12-2020,Thursday,Thu
202012,2020,December,Dec,12,04-12-2020,Friday,Fri
202012,2020,December,Dec,12,05-12-2020,Saturday,Sat
202012,2020,December,Dec,12,06-12-2020,Sunday,Sun
202012,2020,December,Dec,12,07-12-2020,Monday,Mon
202012,2020,December,Dec,12,08-12-2020,Tuesday,Tue
202012,2020,December,Dec,12,09-12-2020,Wednesday,Wed
202012,2020,December,Dec,12,10-12-2020,Thursday,Thu
202012,2020,December,Dec,12,11-12-2020,Friday,Fri
202012,2020,December,Dec,12,12-12-2020,Saturday,Sat
202012,2020,December,Dec,12,13-12-2020,Sunday,Sun
202012,2020,December,Dec,12,14-12-2020,Monday,Mon
202012,2020,December,Dec,12,15-12-2020,Tuesday,Tue
202012,2020,December,Dec,12,16-12-2020,Wednesday,Wed
202012,2020,December,Dec,12,17-12-2020,Thursday,Thu
202012,2020,December,Dec,12,18-12-2020,Friday,Fri
202012,2020,December,Dec,12,19-12-2020,Saturday,Sat
202012,2020,December,Dec,12,20-12-2020,Sunday,Sun
202012,2020,December,Dec,12,21-12-2020,Monday,Mon
202012,2020,December,Dec,12,22-12-2020,Tuesday,Tue
202012,2020,December,Dec,12,23-12-2020,Wednesday,Wed
202012,2020,December,Dec,12,24-12-2020,Thursday,Thu
202012,2020,December,Dec,12,25-12-2020,Friday,Fri
202012,2020,December,Dec,12,26-12-2020,Saturday,Sat
202012,2020,December,Dec,12,27-12-2020,Sunday,Sun
202012,2020,December,Dec,12,28-12-2020,Monday,Mon
202012,2020,December,Dec,12,29-12-2020,Tuesday,Tue
202012,2020,December,Dec,12,30-12-2020,Wednesday,Wed
202012,2020,December,Dec,12,31-12-2020,Thursday,Thu
202011,2020,November,Nov,11,01-11-2020,Sunday,Sun
202011,2020,November,Nov,11,02-11-2020,Monday,Mon
202011,2020,November,Nov,11,03-11-2020,Tuesday,Tue
202011,2020,November,Nov,11,04-11-2020,Wednesday,Wed
202011,2020,November,Nov,11,05-11-2020,Thursday,Thu
202011,2020,November,Nov,11,06-11-2020,Friday,Fri
202011,2020,November,Nov,11,07-11-2020,Saturday,Sat
202011,2020,November,Nov,11,08-11-2020,Sunday,Sun
202011,2020,November,Nov,11,09-11-2020,Monday,Mon
202011,2020,November,Nov,11,10-11-2020,Tuesday,Tue
202011,2020,November,Nov,11,11-11-2020,Wednesday,Wed
202011,2020,November,Nov,11,12-11-2020,Thursday,Thu
202011,2020,November,Nov,11,13-11-2020,Friday,Fri
202011,2020,November,Nov,11,14-11-2020,Saturday,Sat
202011,2020,November,Nov,11,15-11-2020,Sunday,Sun
202011,2020,November,Nov,11,16-11-2020,Monday,Mon
202011,2020,November,Nov,11,17-11-2020,Tuesday,Tue
202011,2020,November,Nov,11,18-11-2020,Wednesday,Wed
202011,2020,November,Nov,11,19-11-2020,Thursday,Thu
202011,2020,November,Nov,11,20-11-2020,Friday,Fri
202011,2020,November,Nov,11,21-11-2020,Saturday,Sat
202011,2020,November,Nov,11,22-11-2020,Sunday,Sun
202011,2020,November,Nov,11,23-11-2020,Monday,Mon
202011,2020,November,Nov,11,24-11-2020,Tuesday,Tue
202011,2020,November,Nov,11,25-11-2020,Wednesday,Wed
202011,2020,November,Nov,11,26-11-2020,Thursday,Thu
202011,2020,November,Nov,11,27-11-2020,Friday,Fri
202011,2020,November,Nov,11,28-11-2020,Saturday,Sat
202011,2020,November,Nov,11,29-11-2020,Sunday,Sun
202011,2020,November,Nov,11,30-11-2020,Monday,Mon
202010,2020,October,Oct,10,01-10-2020,Thursday,Thu
202010,2020,October,Oct,10,02-10-2020,Friday,Fri
202010,2020,October,Oct,10,03-10-2020,Saturday,Sat
202010,2020,October,Oct,10,04-10-2020,Sunday,Sun
202010,2020,October,Oct,10,05-10-2020,Monday,Mon
202010,2020,October,Oct,10,06-10-2020,Tuesday,Tue
202010,2020,October,Oct,10,07-10-2020,Wednesday,Wed
202010,2020,October,Oct,10,08-10-2020,Thursday,Thu
202010,2020,October,Oct,10,09-10-2020,Friday,Fri
202010,2020,October,Oct,10,10-10-2020,Saturday,Sat
202010,2020,October,Oct,10,11-10-2020,Sunday,Sun
202010,2020,October,Oct,10,12-10-2020,Monday,Mon
202010,2020,October,Oct,10,13-10-2020,Tuesday,Tue
202010,2020,October,Oct,10,14-10-2020,Wednesday,Wed
202010,2020,October,Oct,10,15-10-2020,Thursday,Thu
202010,2020,October,Oct,10,16-10-2020,Friday,Fri
202010,2020,October,Oct,10,17-10-2020,Saturday,Sat
